id,title,year
65414,"Appunti per un romanzo dell'immondezza",1970
65417,"Days and Nights in the Forest",1970
65418,"La araucana",1971
65419,Face,1970
65420,"Long Live Robin Hood",1971
65421,"The Aristocats",1970
65422,"Arizona Lets Fly and Kill Everybody",1970
65424,"Sweet Kill",1972
65425,"Sabata the Killer",1970
65427,"Aru heishi no kake",1970
65429,Asediul,1971
65430,"A Very Crazy Asylum",1970
65432,"El astronauta",1970
65433,"Atakku no. 1: Namida no kaiten reshîbu",1970
65434,"Atakku no. 1",1970
65435,"Atakku no. 1: Namida no sekai senshuken",1970
65436,"Even Dwarfs Started Small",1970
65437,"Aus unserer Zeit",1970
65438,"Ausweglos. Aussagen über einen Lebenslauf",1970
65439,"The Confession",1970
65441,"The Baby Maker",1970
65443,Bakumatsu,1970
65445,"The Ball of Count Orgel",1970
65446,"The Ballad of Cable Hogue",1970
65447,"Ballada o Beringe i ego druzyakh",1971
65448,"A Baltic Tragedy",1970
65450,Vengeance,1970
65451,Barquero,1970
65452,Bartleby,1970
65453,"Cuba: Battle of the 10,000,000",1971
65454,"The Boat on the Grass",1971
65456,"Beast of Blood",1970
65457,Beg,1971
65458,"The Amorous Adventures of a Young Postman",1970
65459,"The Beloved",1971
65460,"The Beast",1970
65462,"Beneath the Planet of the Apes",1970
65465,"Die Bettwurst",1971
65466,"Beyond the Valley of the Dolls",1970
65467,Bhai-Bhai,1970
65470,Bigfoot,1970
65473,"Birth of the Japanese Islands",1970
65474,"Black Angels",1970
65475,"Black Pearl",1970
65476,"Blondie's Number One",1971
65478,"Blood Mania",1970
65479,"Blood of the Iron Maiden",1970
65480,"Bloodthirsty Butchers",1970
65481,"Bloody Mama",1970
65482,"The Boatniks",1970
65483,"The Body Beneath",1970
65484,"Bombay Talkie",1970
65485,"Bongo Wolf's Revenge",1970
65486,Borsalino,1970
65488,"The Boys in the Band",1970
65489,"Brancaleone at the Crusades",1970
65491,"Mark of the Devil",1970
65492,"Brewster McCloud",1970
