id,name,birth
232,"Sharon Stone",1958
233,"Quentin Tarantino",1963
234,"Charlize Theron",1975
235,"Uma Thurman",1970
236,"Jennifer Tilly",1958
237,"John Travolta",1954
238,"Shannon Tweed",1957
239,"Liv Tyler",1977
240,"Skeet Ulrich",1970
241,"Jean-Claude Van Damme",1960
242,"Mark Wahlberg",1971
243,"Denzel Washington",1954
244,"Sigourney Weaver",1949
245,"Robin Williams",1951
246,"Bruce Willis",1955
247,"John Woo",1946
248,"Edward D. Wood Jr.",1924
249,"James Woods",1947
250,"Renée Zellweger",1969
251,"Timothy Dowling",1973
254,"Isabelle Adjani",1955
255,"Ben Affleck",1972
256,"Jenny Agutter",1952
257,"Alan Alda",1936
258,"Stephanie Zimbalist",1956
259,"Ginger Lynn",1962
260,"Joan Allen",1956
261,"Karen Allen",1951
262,"Nancy Allen",1950
263,"Kirstie Alley",1951
264,"Pedro Almodóvar",1949
265,"Robert Altman",1925
266,"Ursula Andress",1936
267,"Julie Andrews",1935
268,Ann-Margret,1941
269,"Jean-Jacques Annaud",1943
270,"Gabrielle Anwar",1970
271,"Anne Archer",1947
272,"Fanny Ardant",1949
273,"Alan Arkin",1934
274,"David Arquette",1971
275,"Rosanna Arquette",1959
276,"Sean Astin",1971
277,"Richard Attenborough",1923
278,"Pernilla August",1958
279,"Hank Azaria",1964
280,"Catherine Bach",1954
281,"Scott Baio",1960
282,"Scott Bairstow",1970
283,"Brenda Bakke",1963
284,"Adam Baldwin",1962
285,"Alec Baldwin",1958
286,"Stephen Baldwin",1966
287,"William Baldwin",1963
288,"Christian Bale",1974
289,"Ellen Barkin",1954
290,"John Barry",1933
291,"Angela Bassett",1958
292,"Michelle Bauer",1958
293,"Sean Bean",1959
294,"Amanda Bearse",1958
295,"Kate Beckinsale",1973
296,"Robert Beltran",1953
297,"Tom Berenger",1949
298,"Candice Bergen",1946
299,"Michael Biehn",1956
300,"Juliette Binoche",1964
301,"Thora Birch",1982
302,"Jacqueline Bisset",1944
303,"Honor Blackman",1925
304,"Linda Blair",1959
305,"Mel Blanc",1908
306,"Brian Blessed",1936
307,"Helena Bonham Carter",1966
308,"Ernest Borgnine",1917
309,"David Bowie",1947
310,"Bruce Boxleitner",1950
312,"Amy Brenneman",1964
313,"Jeff Bridges",1949
314,"Charles Bronson",1921
315,"Louise Brooks",1906
316,"Mel Brooks",1926
317,"Clancy Brown",1959
318,"Tim Burton",1958
319,"Yancy Butler",1970
320,"Luis Buñuel",1900
321,"Gabriel Byrne",1950
322,"Emmanuelle Béart",1963
323,"Michael Caine",1933
324,"Barbara Carrera",1945
325,"David Caruso",1956
326,"Kim Cattrall",1956
327,"Lacey Chabert",1982
328,"Richard Chamberlain",1934
329,"Jackie Chan",1954
330,"Stockard Channing",1944
331,"Chevy Chase",1943
332,"Don Cheadle",1964
333,Cher,1946
334,"Yun-Fat Chow",1955
335,"Glenn Close",1947
336,"James Coburn",1928
337,"Rachael Leigh Cook",1979
338,"Francis Ford Coppola",1939
339,"Roger Corman",1926
340,"Cindy Crawford",1966
341,"Michael Crichton",1942
342,"James Cromwell",1940
343,"David Cronenberg",1943
344,"Denise Crosby",1957
345,"Billy Crystal",1948
346,"Macaulay Culkin",1980
347,"Tim Curry",1946
348,"Tony Curtis",1925
349,"Joan Cusack",1962
350,"Beverly D'Angelo",1951
351,"Donna D'Errico",1968
352,"Vincent D'Onofrio",1959
353,"Willem Dafoe",1955
354,"Matt Damon",1970
355,"Anthony Daniels",1946
356,"Sybil Danning",1952
357,"Lolita Davidovich",1961
358,"Daniel Day-Lewis",1957
359,"Olivier De Funès",1949
360,"Rebecca De Mornay",1959
361,"Brian De Palma",1940
362,"Danny DeVito",1944
363,"Loren Dean",1969
364,"Sandra Dee",1942
365,"Julie Delpy",1969
366,"Catherine Deneuve",1943
367,"Gérard Depardieu",1948
368,"Laura Dern",1967
369,"Matt Dillon",1964
370,"Walt Disney",1901
371,"Ami Dolenz",1969
372,"Amanda Donohoe",1962
373,"Michael Dorn",1952
374,"Brad Dourif",1950
375,"Robert Downey Jr.",1965
376,"Fran Drescher",1957
377,"Richard Dreyfuss",1947
378,"Minnie Driver",1970
379,"Kirsten Dunst",1982
380,"Robert Duvall",1931
381,"Anthony Edwards",1962
382,"Atom Egoyan",1960
383,"Jennifer Ehle",1969
384,"Danny Elfman",1953
385,"Sam Elliott",1944
386,"Roland Emmerich",1955
387,"Robert Englund",1947
388,"R. Lee Ermey",1944
389,"Emilio Estevez",1962
390,"Joe Eszterhas",1944
391,"Rupert Everett",1959
392,"Morgan Fairchild",1950
393,"Peter Falk",1927
394,"Chris Farley",1964
395,"Terry Farrell",1963
396,"Farrah Fawcett",1947
397,"Corey Feldman",1971
398,"Sally Field",1946
399,"David Fincher",1962
400,"Linda Fiorentino",1958
401,"Laurence Fishburne",1961
402,"Carrie Fisher",1956
403,"Bridget Fonda",1964
404,"Jane Fonda",1937
405,"Michelle Forbes",1965
406,"John Ford",1894
407,"Vivica A. Fox",1964
408,"Jonathan Frakes",1952
409,"Brendan Fraser",1968
410,"Stephen Fry",1957
411,"Edward Furlong",1977
412,"Andy Garcia",1956
413,"Janeane Garofalo",1964
414,"Teri Garr",1947
415,"Jami Gertz",1965
416,"Terry Gilliam",1940
417,"Crispin Glover",1964
418,"Danny Glover",1946
419,"Jean-Luc Godard",1930
420,"Valeria Golino",1965
421,"Cuba Gooding Jr.",1968
422,"John Goodman",1952
423,"Serena Grandi",1958
424,"Hugh Grant",1960
425,"Peter Greenaway",1942
426,"Jennifer Grey",1960
427,"Pam Grier",1949
428,"D.W. Griffith",1875
429,"Melanie Griffith",1957
430,"Steve Guttenberg",1958
431,"Taylor Hackford",1944
432,"Gene Hackman",1930
433,"Corey Haim",1971
434,"Mark Hamill",1951
435,"Daryl Hannah",1960
436,"Curtis Hanson",1945
437,"Woody Harrelson",1961
438,"Ed Harris",1950
439,"Neil Patrick Harris",1973
440,"Nina Hartley",1959
441,"Noah Hathaway",1971
442,"Rutger Hauer",1944
443,"Goldie Hawn",1945
444,"Glenne Headly",1955
445,"Dan Hedaya",1940
446,"Mariel Hemingway",1961
447,"Marilu Henner",1952
448,"Lance Henriksen",1940
449,"Natasha Henstridge",1974
450,"Philip Seymour Hoffman",1967
451,"Gaby Hoffmann",1982
452,"Lauren Holly",1963
453,"Ian Holm",1931
454,"Dennis Hopper",1936
455,"John Hughes",1950
456,"Holly Hunter",1958
